Age Range,Covid Vacc Date,BlackCum,BlackCount,Black total,MixedCum,MixedCount,Mixed total,OtherCum,OtherCount,Other total,SouthAsianCum,SouthAsianCount,South Asian total,UnknownCum,UnknownCount,Unknown total,WhiteCum,WhiteCount,White total
50-54,2020-12-01,0,0,37737,0,0,15393,0,0,28777,0,0,85708,0,0,183477,0,0,1213527
50-54,2020-12-04,0,0,37737,0,0,15393,0,0,28777,0,0,85708,0,0,183477,0,0,1213527
50-54,2020-12-08,0,0,37737,0,0,15393,7,7,28777,21,21,85708,28,28,183477,189,189,1213527
50-54,2020-12-09,14,14,37737,7,7,15393,14,7,28777,56,35,85708,63,35,183477,525,336,1213527
50-54,2020-12-10,14,0,37737,14,7,15393,21,7,28777,84,28,85708,84,21,183477,812,287,1213527
50-54,2020-12-11,28,14,37737,14,0,15393,35,14,28777,119,35,85708,126,42,183477,1141,329,1213527
50-54,2020-12-12,28,0,37737,21,7,15393,42,7,28777,154,35,85708,161,35,183477,1470,329,1213527
50-54,2020-12-13,35,7,37737,28,7,15393,49,7,28777,182,28,85708,189,28,183477,1708,238,1213527
50-54,2020-12-14,42,7,37737,28,0,15393,56,7,28777,231,49,85708,245,56,183477,1988,280,1213527
50-54,2020-12-15,63,21,37737,35,7,15393,70,14,28777,287,56,85708,294,49,183477,2513,525,1213527
50-54,2020-12-16,70,7,37737,49,14,15393,84,14,28777,357,70,85708,371,77,183477,3227,714,1213527
50-54,2020-12-17,91,21,37737,56,7,15393,105,21,28777,448,91,85708,462,91,183477,4053,826,1213527
50-54,2020-12-18,112,21,37737,70,14,15393,133,28,28777,560,112,85708,553,91,183477,4837,784,1213527
50-54,2020-12-19,133,21,37737,77,7,15393,154,21,28777,630,70,85708,616,63,183477,5474,637,1213527
50-54,2020-12-20,154,21,37737,91,14,15393,168,14,28777,735,105,85708,728,112,183477,6342,868,1213527
50-54,2020-12-21,168,14,37737,98,7,15393,196,28,28777,875,140,85708,882,154,183477,7539,1197,1213527
50-54,2020-12-22,189,21,37737,112,14,15393,224,28,28777,1015,140,85708,1001,119,183477,8596,1057,1213527
50-54,2020-12-23,210,21,37737,133,21,15393,273,49,28777,1190,175,85708,1162,161,183477,9821,1225,1213527
50-54,2020-12-24,224,14,37737,140,7,15393,294,21,28777,1295,105,85708,1239,77,183477,10423,602,1213527
50-54,2020-12-25,224,0,37737,140,0,15393,294,0,28777,1295,0,85708,1239,0,183477,10423,0,1213527
50-54,2020-12-26,224,0,37737,140,0,15393,294,0,28777,1302,7,85708,1239,0,183477,10437,14,1213527
50-54,2020-12-27,231,7,37737,147,7,15393,301,7,28777,1323,21,85708,1260,21,183477,10612,175,1213527
50-54,2020-12-28,238,7,37737,154,7,15393,315,14,28777,1358,35,85708,1295,35,183477,10941,329,1213527
50-54,2020-12-29,266,28,37737,168,14,15393,350,35,28777,1484,126,85708,1393,98,183477,11760,819,1213527
50-54,2020-12-30,294,28,37737,196,28,15393,406,56,28777,1701,217,85708,1589,196,183477,13839,2079,1213527
50-54,2020-12-31,336,42,37737,224,28,15393,462,56,28777,1904,203,85708,1813,224,183477,15862,2023,1213527
50-54,2021-01-01,350,14,37737,231,7,15393,490,28,28777,1953,49,85708,1869,56,183477,16415,553,1213527
50-54,2021-01-02,364,14,37737,231,0,15393,497,7,28777,2002,49,85708,1925,56,183477,17059,644,1213527
50-54,2021-01-03,371,7,37737,245,14,15393,504,7,28777,2044,42,85708,1981,56,183477,17577,518,1213527
50-54,2021-01-04,392,21,37737,252,7,15393,525,21,28777,2142,98,85708,2058,77,183477,18515,938,1213527
50-54,2021-01-05,441,49,37737,280,28,15393,588,63,28777,2345,203,85708,2247,189,183477,20363,1848,1213527
50-54,2021-01-06,518,77,37737,315,35,15393,637,49,28777,2548,203,85708,2513,266,183477,22799,2436,1213527
50-54,2021-01-07,588,70,37737,350,35,15393,721,84,28777,2856,308,85708,2919,406,183477,26397,3598,1213527
50-54,2021-01-08,672,84,37737,392,42,15393,826,105,28777,3185,329,85708,3353,434,183477,30352,3955,1213527
50-54,2021-01-09,728,56,37737,427,35,15393,896,70,28777,3472,287,85708,3731,378,183477,33852,3500,1213527
50-54,2021-01-10,777,49,37737,455,28,15393,938,42,28777,3619,147,85708,3955,224,183477,36043,2191,1213527
50-54,2021-01-11,847,70,37737,483,28,15393,1015,77,28777,3843,224,85708,4319,364,183477,39200,3157,1213527
50-54,2021-01-12,945,98,37737,518,35,15393,1092,77,28777,4095,252,85708,4774,455,183477,43239,4039,1213527
50-54,2021-01-13,1071,126,37737,581,63,15393,1190,98,28777,4354,259,85708,5257,483,183477,47656,4417,1213527
50-54,2021-01-14,1190,119,37737,637,56,15393,1288,98,28777,4662,308,85708,5747,490,183477,52486,4830,1213527
50-54,2021-01-15,1344,154,37737,693,56,15393,1358,70,28777,4970,308,85708,6300,553,183477,58079,5593,1213527
50-54,2021-01-16,1442,98,37737,742,49,15393,1435,77,28777,5278,308,85708,6790,490,183477,62790,4711,1213527
50-54,2021-01-17,1526,84,37737,784,42,15393,1477,42,28777,5467,189,85708,7133,343,183477,65989,3199,1213527
50-54,2021-01-18,1631,105,37737,833,49,15393,1526,49,28777,5677,210,85708,7539,406,183477,69734,3745,1213527
50-54,2021-01-19,1764,133,37737,889,56,15393,1610,84,28777,5873,196,85708,7973,434,183477,73927,4193,1213527
50-54,2021-01-20,1904,140,37737,938,49,15393,1687,77,28777,6146,273,85708,8393,420,183477,78421,4494,1213527
50-54,2021-01-21,2079,175,37737,1015,77,15393,1750,63,28777,6447,301,85708,8890,497,183477,83244,4823,1213527
50-54,2021-01-22,2268,189,37737,1092,77,15393,1834,84,28777,6762,315,85708,9499,609,183477,88823,5579,1213527
50-54,2021-01-23,2401,133,37737,1134,42,15393,1897,63,28777,6993,231,85708,9926,427,183477,93233,4410,1213527
50-54,2021-01-24,2478,77,37737,1162,28,15393,1932,35,28777,7140,147,85708,10178,252,183477,95956,2723,1213527
50-54,2021-01-25,2597,119,37737,1197,35,15393,1981,49,28777,7308,168,85708,10528,350,183477,99085,3129,1213527
50-54,2021-01-26,2737,140,37737,1246,49,15393,2030,49,28777,7504,196,85708,10913,385,183477,102641,3556,1213527
50-54,2021-01-27,2884,147,37737,1295,49,15393,2086,56,28777,7707,203,85708,11270,357,183477,106099,3458,1213527
50-54,2021-01-28,3024,140,37737,1351,56,15393,2142,56,28777,7910,203,85708,11641,371,183477,109620,3521,1213527
50-54,2021-01-29,3164,140,37737,1386,35,15393,2191,49,28777,8127,217,85708,12054,413,183477,113358,3738,1213527
50-54,2021-01-30,3255,91,37737,1428,42,15393,2240,49,28777,8309,182,85708,12376,322,183477,116515,3157,1213527
50-54,2021-01-31,3339,84,37737,1456,28,15393,2268,28,28777,8456,147,85708,12600,224,183477,118804,2289,1213527
50-54,2021-02-01,3402,63,37737,1477,21,15393,2310,42,28777,8596,140,85708,12817,217,183477,120932,2128,1213527
50-54,2021-02-02,3486,84,37737,1512,35,15393,2352,42,28777,8785,189,85708,13083,266,183477,123347,2415,1213527
50-54,2021-02-03,3591,105,37737,1540,28,15393,2394,42,28777,8995,210,85708,13307,224,183477,125895,2548,1213527
50-54,2021-02-04,3717,126,37737,1589,49,15393,2443,49,28777,9233,238,85708,13580,273,183477,128821,2926,1213527
50-54,2021-02-05,3829,112,37737,1624,35,15393,2499,56,28777,9436,203,85708,13874,294,183477,131572,2751,1213527
50-54,2021-02-06,3913,84,37737,1659,35,15393,2534,35,28777,9667,231,85708,14147,273,183477,134232,2660,1213527
50-54,2021-02-07,3962,49,37737,1687,28,15393,2555,21,28777,9814,147,85708,14287,140,183477,135793,1561,1213527
50-54,2021-02-08,4053,91,37737,1708,21,15393,2583,28,28777,9968,154,85708,14455,168,183477,137291,1498,1213527
50-54,2021-02-09,4158,105,37737,1736,28,15393,2611,28,28777,10136,168,85708,14658,203,183477,139237,1946,1213527
50-54,2021-02-10,4256,98,37737,1778,42,15393,2653,42,28777,10381,245,85708,14889,231,183477,141449,2212,1213527
50-54,2021-02-11,4375,119,37737,1841,63,15393,2709,56,28777,10682,301,85708,15127,238,183477,144480,3031,1213527
50-54,2021-02-12,4557,182,37737,1897,56,15393,2793,84,28777,11053,371,85708,15456,329,183477,148498,4018,1213527
50-54,2021-02-13,4655,98,37737,1939,42,15393,2856,63,28777,11438,385,85708,15764,308,183477,152572,4074,1213527
